# Date Transact. No. Buyer Seller Qty. Rate Amount
189 2024/03/13 2024031301030875 36 53 20 1,650.00 33,000.00
190 2024/03/13 2024031301030874 36 57 10 1,650.00 16,500.00
191 2024/03/13 2024031301030873 36 88 170 1,649.90 280,483.00
192 2024/03/13 2024031301030791 57 32 120 1,646.00 197,520.00
193 2024/03/13 2024031301030790 52 32 80 1,646.00 131,680.00
194 2024/03/13 2024031301030775 52 88 30 1,649.90 49,497.00
195 2024/03/13 2024031301030976 17 36 80 1,650.00 132,000.00
196 2024/03/13 2024031301030975 17 53 20 1,650.00 33,000.00
197 2024/03/13 2024031301030934 44 42 59 1,647.00 97,173.00
198 2024/03/13 2024031301030921 44 4 100 1,647.00 164,700.00
199 2024/03/13 2024031301030918 29 53 10 1,650.00 16,500.00
200 2024/03/13 2024031301030880 19 53 50 1,650.00 82,500.00
301 2024/03/13 2024031301024361 25 45 20 1,657.00 33,140.00
302 2024/03/13 2024031301024339 36 58 10 1,660.00 16,600.00
303 2024/03/13 2024031301024069 51 1 10 1,656.00 16,560.00
304 2024/03/13 2024031301023866 25 47 50 1,660.00 83,000.00
305 2024/03/13 2024031301023840 58 19 10 1,660.00 16,600.00
306 2024/03/13 2024031301023629 65 33 15 1,655.00 24,825.00
307 2024/03/13 2024031301019844 58 57 50 1,650.00 82,500.00
308 2024/03/13 2024031301019843 42 57 60 1,650.00 99,000.00
309 2024/03/13 2024031301019842 58 57 92 1,650.00 151,800.00
310 2024/03/13 2024031301019841 89 57 50 1,650.10 82,505.00
311 2024/03/13 2024031301019850 6 57 24 1,650.00 39,600.00
312 2024/03/13 2024031301019849 34 57 24 1,650.00 39,600.00
313 2024/03/13 2024031301019848 54 57 50 1,650.00 82,500.00
314 2024/03/13 2024031301019847 3 57 12 1,650.00 19,800.00
315 2024/03/13 2024031301019846 57 57 30 1,650.00 49,500.00
316 2024/03/13 2024031301019845 58 57 10 1,650.00 16,500.00
317 2024/03/13 2024031301019949 36 3 20 1,649.90 32,998.00
318 2024/03/13 2024031301019948 25 3 30 1,650.00 49,500.00
319 2024/03/13 2024031301019947 89 3 100 1,650.00 165,000.00
320 2024/03/13 2024031301019878 59 58 2 1,650.00 3,300.00
321 2024/03/13 2024031301019877 59 42 10 1,650.00 16,500.00
322 2024/03/13 2024031301019851 59 57 38 1,650.00 62,700.00
323 2024/03/13 2024031301020293 36 48 20 1,649.00 32,980.00
324 2024/03/13 2024031301020205 36 1 10 1,649.00 16,490.00
325 2024/03/13 2024031301020204 58 58 20 1,649.10 32,982.00
326 2024/03/13 2024031301020118 89 58 50 1,649.10 82,455.00
327 2024/03/13 2024031301020117 37 58 20 1,649.10 32,982.00
328 2024/03/13 2024031301020098 57 51 14 1,649.10 23,087.40
329 2024/03/13 2024031301020630 37 22 30 1,649.00 49,470.00
330 2024/03/13 2024031301020618 37 55 20 1,649.00 32,980.00
331 2024/03/13 2024031301020617 32 55 20 1,649.00 32,980.00
332 2024/03/13 2024031301020616 4 55 10 1,649.00 16,490.00
333 2024/03/13 2024031301020474 45 58 50 1,650.00 82,500.00
334 2024/03/13 2024031301020314 46 36 50 1,649.00 82,450.00
335 2024/03/13 2024031301021209 58 28 20 1,648.80 32,976.00
336 2024/03/13 2024031301021189 58 28 18 1,648.80 29,678.40
337 2024/03/13 2024031301020984 89 6 10 1,649.00 16,490.00
338 2024/03/13 2024031301020983 58 6 10 1,649.00 16,490.00
339 2024/03/13 2024031301020673 58 56 10 1,649.00 16,490.00
340 2024/03/13 2024031301020640 42 45 10 1,650.00 16,500.00
341 2024/03/13 2024031301021365 14 44 275 1,648.20 453,255.00
342 2024/03/13 2024031301021352 14 17 12 1,648.20 19,778.40
343 2024/03/13 2024031301021351 14 17 38 1,648.20 62,631.60
344 2024/03/13 2024031301021345 14 47 100 1,648.20 164,820.00
345 2024/03/13 2024031301021344 4 49 50 1,649.00 82,450.00
346 2024/03/13 2024031301021301 14 28 62 1,648.20 102,188.40
347 2024/03/13 2024031301021504 39 42 27 1,648.20 44,501.40
348 2024/03/13 2024031301021475 4 42 10 1,648.20 16,482.00
349 2024/03/13 2024031301021468 7 6 10 1,648.00 16,480.00
350 2024/03/13 2024031301021467 10 6 10 1,648.00 16,480.00
351 2024/03/13 2024031301021457 45 35 2 1,650.00 3,300.00
352 2024/03/13 2024031301021435 14 42 13 1,648.20 21,426.60
353 2024/03/13 2024031301021730 39 10 22 1,650.00 36,300.00
354 2024/03/13 2024031301021729 39 17 10 1,650.00 16,500.00
355 2024/03/13 2024031301021728 39 45 10 1,650.00 16,500.00
356 2024/03/13 2024031301021727 39 49 88 1,649.00 145,112.00
357 2024/03/13 2024031301021607 36 6 10 1,649.00 16,490.00
358 2024/03/13 2024031301021505 39 49 30 1,649.00 49,470.00
359 2024/03/13 2024031301021914 4 53 20 1,647.50 32,950.00
360 2024/03/13 2024031301021913 36 53 10 1,647.60 16,476.00
361 2024/03/13 2024031301021909 58 45 30 1,648.00 49,440.00
362 2024/03/13 2024031301021740 39 16 79 1,647.10 130,120.90
363 2024/03/13 2024031301021739 36 16 20 1,648.00 32,960.00
364 2024/03/13 2024031301021731 39 6 20 1,650.00 33,000.00
365 2024/03/13 2024031301021922 21 53 10 1,646.00 16,460.00
366 2024/03/13 2024031301021921 58 53 10 1,646.00 16,460.00
367 2024/03/13 2024031301021920 49 53 10 1,647.00 16,470.00
368 2024/03/13 2024031301021919 53 53 70 1,647.00 115,290.00
369 2024/03/13 2024031301021916 89 53 100 1,647.10 164,710.00
370 2024/03/13 2024031301021915 39 53 64 1,647.10 105,414.40
371 2024/03/13 2024031301022313 49 53 27 1,650.00 44,550.00
372 2024/03/13 2024031301022230 3 53 10 1,650.00 16,500.00
373 2024/03/13 2024031301022169 39 47 20 1,646.10 32,922.00
374 2024/03/13 2024031301022168 58 6 14 1,650.00 23,100.00
375 2024/03/13 2024031301022016 41 53 56 1,646.00 92,176.00
376 2024/03/13 2024031301022015 21 53 50 1,646.00 82,300.00
377 2024/03/13 2024031301022542 22 36 10 1,649.00 16,490.00
378 2024/03/13 2024031301022514 29 36 50 1,649.00 82,450.00
379 2024/03/13 2024031301022504 20 53 100 1,648.00 164,800.00
380 2024/03/13 2024031301022490 20 53 90 1,648.00 148,320.00
381 2024/03/13 2024031301022489 35 53 10 1,648.00 16,480.00
382 2024/03/13 2024031301022320 17 53 43 1,650.00 70,950.00
383 2024/03/13 2024031301022904 20 21 18 1,648.00 29,664.00
384 2024/03/13 2024031301022903 22 21 12 1,649.00 19,788.00
385 2024/03/13 2024031301022902 58 21 10 1,649.00 16,490.00
386 2024/03/13 2024031301022901 52 21 20 1,649.00 32,980.00
387 2024/03/13 2024031301022776 39 17 30 1,649.90 49,497.00
388 2024/03/13 2024031301022741 58 17 10 1,649.90 16,499.00
389 2024/03/13 2024031301023305 3 48 25 1,650.00 41,250.00
390 2024/03/13 2024031301023234 48 34 10 1,650.00 16,500.00
391 2024/03/13 2024031301023151 42 34 40 1,650.00 66,000.00
392 2024/03/13 2024031301023150 42 53 20 1,650.00 33,000.00
393 2024/03/13 2024031301023137 58 17 11 1,649.90 18,148.90
394 2024/03/13 2024031301022939 35 17 10 1,649.90 16,499.00
395 2024/03/13 2024031301023628 65 57 30 1,655.00 49,650.00
396 2024/03/13 2024031301023537 16 49 60 1,653.00 99,180.00
397 2024/03/13 2024031301023536 16 53 80 1,653.00 132,240.00
398 2024/03/13 2024031301023532 55 49 21 1,650.00 34,650.00
399 2024/03/13 2024031301023426 45 53 20 1,653.00 33,060.00
400 2024/03/13 2024031301023347 58 58 10 1,650.00 16,500.00
401 2024/03/13 2024031301019840 89 57 10 1,650.10 16,501.00
402 2024/03/13 2024031301019839 37 57 50 1,650.10 82,505.00
403 2024/03/13 2024031301019761 48 44 20 1,652.00 33,040.00
404 2024/03/13 2024031301019644 58 57 20 1,655.00 33,100.00
405 2024/03/13 2024031301019487 52 57 10 1,655.00 16,550.00
406 2024/03/13 2024031301019421 56 57 15 1,655.00 24,825.00
407 2024/03/13 2024031301017761 45 51 15 1,665.00 24,975.00
408 2024/03/13 2024031301017760 45 36 40 1,665.00 66,600.00
409 2024/03/13 2024031301017714 45 32 35 1,660.00 58,100.00
410 2024/03/13 2024031301017599 58 36 20 1,665.00 33,300.00
411 2024/03/13 2024031301017771 19 53 100 1,654.00 165,400.00
412 2024/03/13 2024031301017770 57 53 10 1,655.00 16,550.00
413 2024/03/13 2024031301017769 52 53 20 1,655.00 33,100.00
414 2024/03/13 2024031301017768 32 53 10 1,655.00 16,550.00
415 2024/03/13 2024031301017767 52 53 10 1,660.00 16,600.00
416 2024/03/13 2024031301017762 49 51 5 1,665.00 8,325.00
417 2024/03/13 2024031301017820 21 53 13 1,650.20 21,452.60
418 2024/03/13 2024031301017819 57 53 20 1,651.00 33,020.00
419 2024/03/13 2024031301017818 42 53 55 1,653.00 90,915.00
420 2024/03/13 2024031301017783 70 53 100 1,653.00 165,300.00
421 2024/03/13 2024031301017773 70 53 200 1,653.00 330,600.00
422 2024/03/13 2024031301017772 57 53 50 1,654.00 82,700.00
423 2024/03/13 2024031301017839 95 48 10 1,650.00 16,500.00
424 2024/03/13 2024031301017838 54 48 10 1,650.00 16,500.00
425 2024/03/13 2024031301017837 7 48 12 1,650.00 19,800.00
426 2024/03/13 2024031301017836 37 48 20 1,650.10 33,002.00
427 2024/03/13 2024031301017835 39 48 88 1,650.10 145,208.80
428 2024/03/13 2024031301017821 39 53 12 1,650.10 19,801.20
429 2024/03/13 2024031301017878 42 53 40 1,650.00 66,000.00
430 2024/03/13 2024031301017877 47 53 30 1,650.00 49,500.00
431 2024/03/13 2024031301017876 57 53 10 1,650.00 16,500.00
432 2024/03/13 2024031301017875 49 53 10 1,650.00 16,500.00
433 2024/03/13 2024031301017874 58 53 35 1,655.00 57,925.00
434 2024/03/13 2024031301017840 38 48 53 1,650.00 87,450.00
435 2024/03/13 2024031301017884 25 53 116 1,650.00 191,400.00
436 2024/03/13 2024031301017883 17 53 10 1,650.00 16,500.00
437 2024/03/13 2024031301017882 45 53 10 1,650.00 16,500.00
438 2024/03/13 2024031301017881 13 53 26 1,650.00 42,900.00
439 2024/03/13 2024031301017880 21 53 30 1,650.00 49,500.00
440 2024/03/13 2024031301017879 42 53 10 1,650.00 16,500.00
441 2024/03/13 2024031301018248 74 53 100 1,650.10 165,010.00
442 2024/03/13 2024031301018247 17 53 12 1,652.00 19,824.00
443 2024/03/13 2024031301018246 58 53 12 1,652.00 19,824.00
444 2024/03/13 2024031301018245 48 53 10 1,654.00 16,540.00
445 2024/03/13 2024031301017901 25 53 100 1,650.00 165,000.00
446 2024/03/13 2024031301017887 62 53 100 1,650.10 165,010.00
447 2024/03/13 2024031301018279 25 53 100 1,650.00 165,000.00
448 2024/03/13 2024031301018271 25 53 100 1,650.00 165,000.00
449 2024/03/13 2024031301018264 25 53 32 1,650.00 52,800.00
450 2024/03/13 2024031301018263 13 53 50 1,650.00 82,500.00
451 2024/03/13 2024031301018262 25 53 18 1,650.00 29,700.00
452 2024/03/13 2024031301018249 25 53 66 1,650.00 108,900.00
453 2024/03/13 2024031301018415 56 53 100 1,650.00 165,000.00
454 2024/03/13 2024031301018399 56 53 12 1,650.00 19,800.00
455 2024/03/13 2024031301018398 20 53 88 1,650.00 145,200.00
456 2024/03/13 2024031301018330 20 47 12 1,650.00 19,800.00
457 2024/03/13 2024031301018329 16 47 20 1,650.00 33,000.00
458 2024/03/13 2024031301018328 25 47 68 1,650.00 112,200.00
459 2024/03/13 2024031301018555 45 17 10 1,663.90 16,639.00
460 2024/03/13 2024031301018534 22 43 100 1,660.00 166,000.00
461 2024/03/13 2024031301018496 33 32 38 1,650.00 62,700.00
462 2024/03/13 2024031301018495 58 32 10 1,650.20 16,502.00
463 2024/03/13 2024031301018466 33 53 62 1,650.00 102,300.00
464 2024/03/13 2024031301018465 56 53 38 1,650.00 62,700.00
465 2024/03/13 2024031301018802 58 57 5 1,620.00 8,100.00
466 2024/03/13 2024031301018746 63 4 40 1,652.00 66,080.00
467 2024/03/13 2024031301018700 22 17 10 1,663.90 16,639.00
468 2024/03/13 2024031301018699 22 6 10 1,663.00 16,630.00
469 2024/03/13 2024031301018651 56 17 10 1,663.90 16,639.00
470 2024/03/13 2024031301018623 57 17 10 1,663.90 16,639.00
471 2024/03/13 2024031301019142 22 25 10 1,660.00 16,600.00
472 2024/03/13 2024031301019131 22 26 50 1,660.00 83,000.00
473 2024/03/13 2024031301019039 38 42 13 1,663.80 21,629.40
474 2024/03/13 2024031301019036 38 74 10 1,663.80 16,638.00
475 2024/03/13 2024031301019003 38 34 10 1,663.80 16,638.00
476 2024/03/13 2024031301018919 22 57 20 1,660.00 33,200.00
477 2024/03/13 2024031301019185 59 53 100 1,651.00 165,100.00
478 2024/03/13 2024031301019170 59 53 40 1,651.00 66,040.00
479 2024/03/13 2024031301019169 63 53 100 1,651.10 165,110.00
480 2024/03/13 2024031301019168 63 53 60 1,652.00 99,120.00
481 2024/03/13 2024031301019167 19 53 100 1,652.50 165,250.00
482 2024/03/13 2024031301019143 57 25 10 1,660.00 16,600.00
483 2024/03/13 2024031301019345 5 58 20 1,650.00 33,000.00
484 2024/03/13 2024031301019344 58 58 60 1,651.00 99,060.00
485 2024/03/13 2024031301019343 18 58 20 1,651.00 33,020.00
486 2024/03/13 2024031301019342 45 58 16 1,651.00 26,416.00
487 2024/03/13 2024031301019341 59 58 369 1,651.00 609,219.00
488 2024/03/13 2024031301019340 45 58 100 1,651.10 165,110.00
489 2024/03/13 2024031301019351 48 58 10 1,650.00 16,500.00
490 2024/03/13 2024031301019350 11 58 10 1,650.00 16,500.00
491 2024/03/13 2024031301019349 1 58 130 1,650.00 214,500.00
492 2024/03/13 2024031301019348 35 58 10 1,650.00 16,500.00
493 2024/03/13 2024031301019347 36 58 10 1,650.00 16,500.00
494 2024/03/13 2024031301019346 3 58 100 1,650.00 165,000.00
495 2024/03/13 2024031301019410 14 53 100 1,650.00 165,000.00
496 2024/03/13 2024031301019382 43 57 25 1,655.00 41,375.00
497 2024/03/13 2024031301019355 43 58 25 1,650.00 41,250.00
498 2024/03/13 2024031301019354 22 58 50 1,650.00 82,500.00
499 2024/03/13 2024031301019353 22 58 40 1,650.00 66,000.00
500 2024/03/13 2024031301019352 42 58 30 1,650.00 49,500.00
501 2024/03/13 2024031301017595 58 36 10 1,665.00 16,650.00
502 2024/03/13 2024031301017585 19 53 107 1,660.00 177,620.00
503 2024/03/13 2024031301017584 52 53 50 1,660.00 83,000.00
504 2024/03/13 2024031301017583 42 53 47 1,660.00 78,020.00
505 2024/03/13 2024031301017582 20 53 100 1,660.10 166,010.00
506 2024/03/13 2024031301017581 49 53 50 1,661.00 83,050.00
507 2024/03/13 2024031301014459 38 52 16 1,662.10 26,593.60
508 2024/03/13 2024031301014458 58 34 15 1,664.00 24,960.00
509 2024/03/13 2024031301014217 58 53 25 1,663.00 41,575.00
